rating,review,date
1,"Quit it with the forced updates . Yet again today , in the queue turned it on , update.. all i wanted was to get a digital reciept for electrical purchases, but no wouldnt let me scan. Judt update. At the checkout with lousy mobile coverage is not the place to find out there is an update out..thanks for your answer i understand apps need updating . But its the forced nature of your updates.. ""do nothing until its updated"" at least let us scan the code as a minimum.before updating.",2021-11-04
4,Don't understand how to change my password 😒,2022-07-14
5,"Great bargains! Lidl offer a wide range of tasty treats, and some useful house hold items. Worth having a look around. Like the Argentinian Malbec.",2022-08-17
4,Never a problem in store bakery is fab store has a good selection of products,2021-10-23
5,Excellent.,2022-11-16
5,Really easy to use.,2022-05-24
5,Easy shop good selection of products,2022-06-23
5,Great,2022-02-26
1,Down loading ANOTHER update!,2021-12-06
5,Super easy to use!,2021-12-25
5,Works great now. Thankyou. Well worth having the App.,2022-03-17
5,Good to have the coupons,2022-08-30
5,Puiki programėlė 😊,2021-12-31
5,Its the shop with te Brands,2022-09-17
2,Takes a while to load or sometimes doesn't load at all as it needs internet to work. Also my freebie or end of the month money off coupons sometimes disappear (despite me clicking save) so I lose the discount. A very frustrating app!,2022-03-24
5,Works fine,2022-01-09
4,All straight forward now app working properly.,2021-11-30
5,Brilliant app So much better than a plastic card,2022-02-25
5,Good shopping,2022-08-24
5,The best,2022-07-30
5,Always a pleasure to shop here,2022-11-17
5,Grate friendly staff,2022-06-22
1,Was good to begin with but after a while you lose the ability the win any scratch cards. 0 in the last 12 shops. The discount vouchers after reaching milestones have been replaced with cheap free items that aren't really worth it,2023-10-22
5,Good savings if you shop regularly. Easy to use. Keeps a digital receipt for you which is handy if you need to return anything.,2022-03-11
5,Great app for groceries shopping 👍,2022-04-05
5,Good value food,2022-10-27
3,It's generally a good app but we recently had an issue where if you go shopping 1 day before the end of the month it doesn't add up the total amount you spend for that month. So yesterday 30th Sep I went shopping and the total amount would have reached £200 but it didn't add the amount at all so I never received my £10 voucher and didn't get my digital receipt. Not sure if this is a cheeky developers trick or a glitch with the app.,2021-10-01
5,"Easy to shop, good value food.",2021-12-21
5,Fantastic app,2021-12-01
5,Does not show any Lidl shops in Northern Ireland Update: works now. Thanks,2022-09-17
1,"The app won't let me select my local store , i give up",2024-03-03
4,OK 👌,2022-09-08
2,Not enough Value for the money I spend,2023-11-28
4,App has worked well until recently when it started showing fewer coupons than were actually activated. All coupons are usually allowed at the till but it delays the check out to make sure they are all on the receipt. Has the app changed to give this issue?,2023-06-22
5,"App is really good, although the spin to win feature is a waste of time. Win a discount on things you never buy",2021-09-30
3,"They have updated the rewards, obviously not for the better. £10 off for reaching £200 in a month was great. 10% off for reaching £250 isnt great. But at least it's still money off. Will continue to use the app as normal, anything is better than nothing. But the value of this app has diminished massively. Getting a free W5 product at £150 spend isn't really making up for anything given how bad the W5 products are. Real shame, but again, better than nothing.",2022-10-29
5,Easy to use,2022-01-07
1,Loaded the app. It could not find the local store in Visby sweden,2023-12-04
5,💚,2022-12-06
4,Mi piache tutti I prodoti,2022-07-24
4,OK,2022-06-10
1,"Every time there's a new update I can't use the app until I update it, and there's no way around it. I'm not bothered about updates, the app works fine and I can barely see an improvement from one update to another, so please don't force people with useless updates. Not to mention how frustrating it is to wait outside in the cold to update the app, on poor signal, before you get inside to do your shopping and collect points.",2021-12-01
1,"I give one star and that because of only one reason - you have to constantly log in to the app, because after some time it will log you off. Why not made up so, that it will let you logged in all the time? Recently I can't even log in, as the app crashes everytine I type in my password, so can't use it at all.",2021-10-09
5,Great App When it works,2022-01-11
1,Not understandable. Very complicated. K ruoka is best,2024-02-03
5,Great 👍,2022-02-26
5,Fantastic*,2022-04-04
5,Easy to use. All communication stored. I like that you can see till receipt. One of the best supermarket apps,2022-07-27
3,The app is asking me to update. I click on update button and it opens the app...cant update it,2022-04-04
3,Please make Lidl plus card maximize the brightness of my phone screen Optional. Thank you,2021-11-11
5,Fast and quick thanks 🙏,2024-02-01
5,Just enjoy shopping there 💚 And amazing people lovely customer service,2022-04-18
5,Good to use,2022-07-16
4,"Kan veel beter. Klant meer power geven. Minder oponthoud bij kassa veroorzaken. 1. De app logt mensen soms uit zonder dat ze dat weten. Komen ze bij de kassa achter. 2. De app wil soms per se updaten als je bij de kassa staat zonder dat je dat kunt uitstellen. 3. De app attendeert je soms op iets, bijvoorbeeld een Advent aanbieding, als je bij de kassa staat zonder dat je dat kunt uitstellen. Daardoor gebruik ik de app vaak niet. Ik zie dat de app ook bij anderen oponthoud veroorzaakt.",2023-12-12
5,Love lidol..Great value for money ....I'm trying to update the app but it jyst gies back to ..update app again 🤫🤔,2022-02-25
5,Lovely food fresh bread nice wine great choice great fridge and freezer section but miss the mint chocolate lolli ices,2021-10-24
4,Just fine,2021-12-09
1,"Would prefer a card don't always Carry my phone, it also holds up the que while you log in which can be slow depending on signal strength. Don't like the app at all.",2021-10-07
4,All good,2023-10-04
2,Failed to deduct any coupons at till...very embarrassing. A lot of hastle,2022-06-17
5,Always good prices,2023-01-13
4,Hot,2022-03-25
5,Good experience,2023-06-05
5,Good,2022-04-04
5,👍,2022-11-08
5,Great!,2022-03-11
2,"I have had the App for a while , and on the whole it ok, that is till they changed the coupons ( earned through spending) , at £50 you get a bakery item ,£100 -£2 off as before--now its , £ 150 a W5 product ,and now £250 for 10% off , where as before it was £200 spend gave you a £10 off without having to spend £100 to equal the same , not forgetting the extra £50 to get there . The coupons are more often things you don't buy and repeat frequently, it used to be so much better",2022-11-14
5,Today was the first time I have visited the store staff was very polite and customers were very helpful and friendly towards each other,2022-07-03
4,Good app have been using it since it came out. I had a message to update and it says not available for my device. So I cannot use the app as it won't download.,2022-09-15
4,I love Lidl 💘,2021-11-18
5,"I'm so loving the free coupons, especially the 4Euros after meeting up with the 400€ in the month",2022-06-14
5,Excellent service,2022-10-31
5,Just love the amount of produce ther is,2023-09-07
1,After update it doesnt open.,2022-04-21
4,Pretty good,2022-07-23
3,"I don't seem to be able to log out of the app. Have forgotten my password and the instructions of how to retrieve it are invalid because it says to hit the link under the login, but I cannot access the login page and cannot log out. So stuck. Other than that the app is ok except it never has coupons for things that I buy. Also, cannot earn the discount because my husband does half the shopping and has been bumped out of the app on his phone and we can't find the password to get him back in.",2022-01-08
5,very good,2022-10-19
3,Often creats difficulty in opening the App,2024-03-18
5,Good ap.,2022-01-26
5,Time to time need to wait for bar code,2021-10-23
5,"I like Lidl fresh grocery,fruits everthing you need ,as they have good price in shop",2022-07-20
1,Rubbish app never works it's a waste of time don't bother with it,2022-01-15
5,Brilliant value for money.,2022-11-12
1,"Useless. Logs you out at inopportune moments, and impossible to use in your Folkestone store due to non existent signal. I've given up even attempting to use it.",2022-03-31
3,Difficult,2022-12-28
1,Nice staff I enjoy my shopping with my neighbour,2023-07-24
5,Very helpful staff,2021-10-21
1,"Terrible app but the shop is even worse. The app never load,the stuff in shops are horrible and very unhelpful.",2022-10-10
5,Good,2022-06-10
4,Only thing that disappoints is there's no gluten free for coeliacs.,2022-06-05
5,Really appreciate a bargain!,2023-01-26
5,I like the vouchers! Especially the £2 and £10 ones. Way better than all other supermarkets imo,2022-07-02
3,"They need to remind you to use your app, find when I shop with children I forget. Also I think once you earn the coupons they should stay till you can use them, not expire so quickly.",2021-12-22
5,Great to use and save,2022-04-28
2,"Great when it works but I lose coupons I've earned often which is really annoying. Especially when it flashes up that I've got it, only to not appear in my coupon section.",2023-09-26
5,Easy to use. Clear and precise.,2022-02-24
2,Offers are often not what I would buy and on my birthday didn't get my promised free cookie. Most of the time the things on offer that i am interested in aren't available. Most of my experiences using the app us disappointment. Upside it's an easy app to use.,2022-05-24
2,Ok,2021-11-06
5,"Always helpful, obliging, pleasant assistants...",2022-01-03
2,Complicated. You have to activate the coupons And I have activated one that say buy for more than 40 and you get 5 back but I didn't get it back. Some thing else must be activated,2023-12-16
5,Great staff very helpful and easy to shop.,2021-11-18
1,I live in Lithuania but I am a foreigner. App has no option to change the language to English if you live in Lithuania.,2023-05-19
5,Good for shopping it's close,2022-05-03
5,Nice and easy way to save,2022-08-29
5,A great store with helpful staff who make it a pleasure to get to know them. Shopping at ALDI is like visiting friends.,2022-02-21
4,So easy to use the Lidl Ap. I hadn't bothered before because I thought it would be too difficult. How wrong I was!,2022-04-14
5,Great,2022-09-22
4,Good,2023-02-26
5,"Was better when you got a £10 voucher for spending £200, but 10% off next shop after spending £250 in 1 month can be useful if you don't go shopping for a week first. Annoyingly the free bakery item chooses the cheapest item, so you'll have to not buy those croissants if you want a free boule. The discounts are useful in these expensive times though.",2022-12-02
4,Happy with shops and the staff.,2022-06-23
3,"Since when there is only België and not Belgique? Can you imagine I like the apps to be only in English? Then ask your Business Analysts to act upon! Three stars because I cannot change the language to English in België. Yeah, English is not an official language in Belgium and you lack basic UX skills if you are xenophobic.",2022-09-02
3,I have been happily using this app for about a year. The Lidl pay feature is very useful. I had to reinstall the app and my credit card details though because it just stopped working entirely,2023-10-14
5,Very good one,2022-07-18
4,Really enjoy the benefits,2021-10-19
1,Totally useless. Refuses to work or connect to the internet. There's nothing wrong with my phone or my WiFi.,2022-03-31
5,Excellent store,2021-11-19
5,Easy to use.,2022-10-26
1,Must I show the Qcode before checkout? Then how do I claim my free pastry item as there is no mention how to do this and my chosen item was refused at the till. All this time the Q were held up! An unhelpful experience! What should I do? May I suggest the app should do this automatically! Not prester the cashier!,2022-04-21
5,Very good,2022-06-23
1,"Lots a waste of time , any of the offers that you might consider taking, the products are rarely available, basically a scam .!",2022-05-13
5,Mi piace molto,2023-01-29
5,This new installment for the Lidl app is not downloading for me??,2021-11-05
5,Amazing store.,2022-11-12
5,"Always a good experience, good food and good products.",2022-01-17
5,"Great app , easy to used",2021-10-17
4,"Most of the time the Lidl Plus app works fine,but on our last couple of shops it didn't work for two items that were activated for a 15% discount.I have just updated my phone,so maybe that might rectify it.",2023-10-13
5,Really easy to use.,2022-09-14
1,"BUG: The app worked properly until recently, but then the Lidl plus card (QR code) just disappeared! And there is no way to recover it. FEATURE: You cannot use English language (generally, you cannot use any other language) in Lithuania. Now it is useless.",2023-01-12
5,Exceptional idea!,2022-01-16
3,Keeps dropping out in store and wont update.,2022-02-24
5,"Very useful if you do a lot of shopping at Lidl, with access to coupons, weekly Lidl leaflets, information on when your local store is most/least busy. If you register the app's QR code in the shop when paying (necessary for e-coupons), the app keeps records of how much you spent at lidl and when. Useful for budgeting, some people may have privacy concerns.",2022-06-11
5,Love the app. Love the savings too.,2021-11-10
5,Friendly service and staff,2022-05-15
5,"Good quality, helpful staff. Excellent value",2022-07-28
1,"App is ok, it functions. However get many discount offers for things I don't buy, so no saving there. And the earned discount monetary vouchers are very time limited, so easy to loose them, because your shopping can't fit Lidl time frame!",2022-02-25
1,The rewards are so meagre and you have to spend so much to get them that I don't bother to use the app,2023-08-11
3,"Re-installed app, after it stated 'not available in your area' and still cannot log in!! Help received from Customer Service....... login needed to have access to your address & use Chrome. Plus, delete VPN. I'm happy now, I use this app a lot....",2022-12-16
1,Where is my feedback? I already write it down 2 times but it keeps disappearing. I screen shotted last time.,2021-12-20
1,"It was brilliant. But now the £10 for reaching £200 has gone, replaced with the 10% off a shop, less attractive to shop at Lidl as much now. Benefits are as other supermarkets",2022-09-21
1,Will not send me a code to activate account I've tried months ago and no success. So when my local Lidl reopened again I said I would try again still the same can't get code to open account.,2021-11-18
1,Kan ikke kobles på dankortet som hos Netto/Bilka/Føtex eller i app som Coop,2021-11-12
5,Always good service and range of oroducts. 7,2022-08-11
1,Incerc de mai bine de o luna sa imi fac cont si nu reusesc. Imi blochez de fiecare data accesul pentru ca nu primesc nici un cod de autentificare pe telefon. Update-uri stiti sa faceti ... dar sa fie si util?,2023-12-02
5,good products,2022-04-15
4,Good.,2021-11-08
5,"Great app, great store..",2022-10-17
5,So quick and easy to use ☺️☺️,2022-05-12
5,Nice shop . Friendly staff . Good choice of food love the app .,2021-10-08
5,Asw💕was 🙏😂👍🥰👍z👍sw👍♥️s👌w😄s,2022-08-18
1,Impossible to get a any reductions with this app and system!,2022-11-15
5,"Quick app , downloaded in store and started my rewards straight away.",2022-12-16
5,Useful if you want to save some money,2023-10-03
5,"App works reliably, enabling access to savings. I love the scratch cards.",2021-11-11
4,good,2022-10-24
5,Great place to do your shopping,2023-03-11
5,Great,2022-08-18
2,"Not a big deal... Disappointing... The coupon system sucks; all the available coupons should already be activated because if you ask the client to activate the coupon for a product, it means you don't really want to offer him a good deal...",2023-12-03
5,Much easier than cards,2022-12-21
2,Put dark mode!,2022-04-16
4,Very easy to use app. Love the coupons too quick and easy to see whilst shopping,2022-08-19
5,Very happy with this service,2023-05-31
2,Its ok. Rewards are hardly worth the bother.,2022-10-09
5,First class choice of fruit and vegetables great range of bakery 😋,2023-10-04
5,Very good value still when all the other supermarkets have put up their prices,2022-09-18
4,Good,2022-09-01
5,"Easy app to use, and I manage to get discount most months.",2022-05-25
5,Love it.,2022-04-30
5,So easy to use and understand,2021-12-11
5,"Very good, polite staff, best prices for good quality.",2023-09-21
5,"Why not get a saving if you can by shopping,it helps customer loyalty",2022-06-29
2,F Too much hassle,2021-12-04
1,"Free offers,but alway out of stock. App always don't work",2022-11-30
5,Works well,2022-11-13
5,Keeps you up to date with spending & offers,2022-04-04
1,Good,2022-03-15
1,App says update available but doesn't update and message stays there. Otherwise not bad app,2022-04-06
5,"Efficient friendly staff at the till in Letchworth, Herts branch.",2022-11-29
4,As I live alone the targets are too high for me to achieve but happy otherwise,2023-02-21
1,It's so expensive now like all SoCal super markets for the people.. Remember when they first came €200 fill your trolley 🛒 . Bloody terrible 😔 it's called greed,2022-08-18
1,The discount codes like 10% should apply automatically not have to be manually selected by the customer who invariably forgets then gets very frustrated when you get an email reminder AFTER you have done your weekly shop. It's left a sour taste to be honest why put the onus on the customer??,2023-08-27
1,Forced updates without warning!! Updated my phone this morning and all the apps. When I get to the checkout the app forces me to update and I cannot access the barcode to scan it. Takes over 4 minutes to update and log in so not able to use Maybe you could try testing your updated process in the real world and not just forcing updates when people are trying to buy shopping. Would it be that hard to have an update and a card button???,2022-07-23
2,"Reclamele voastre ma dispera, mi se deschid in timp ce dau scroll pe alte aplicații. Ma faceti sa nu mai cumpar nimic vreodată de la voi.",2022-03-11
2,"Started of Great, but ever few months UPDATE APP. Now cant use it unless update, and ran out of space having to do it. ANNOYING",2022-09-12
5,"Thanks for the quick replay, I hope the improvments of the App will keep going to reach the satisfaction of evreybody.",2021-10-25
5,Great app,2022-04-02
5,Nice to find a decent supermarket,2022-12-03
3,I would much prefer having a card. So much easier.,2022-10-20
5,Easy shopping good variety,2022-12-30
5,Always good value for your money,2022-08-05
5,"This app is a great idea but could be improved. I was asked to answer some questions so they could tailor the weekly vouchers to my shopping but I have repeatedly been given pet food or children's care , when I have neither!!. Plus the scanner has been put inside the protection screen at the checkout which is awkward and slows things down. Not as good now the £10 voucher has gone. 10% off is OK if your buying for a family. And can carry a lot of shopping and have the money for a large shop.",2022-11-18
5,Love Lidl,2023-10-03
1,Asiointi lidlissä oli paljon mukavampaa ennen appia. Nykyään menee hurjasti aikaa kassalla kun jokainen vuorollaan sählää kännykän kanssa. Puhumattakaan käytävillä vaeltavista puhelinzombeista.,2023-09-15
5,The staff are so helpful + their personality is lovely smiling all the time asking how you are + say have a good day + look after yourself..****,2024-01-28
4,Great... quick and easy way to shop.,2021-10-07
5,Use as my corner shop great,2022-09-30
4,I like 2£ off,2021-11-22
2,Updates required too often. Memory not always available. When this only happèns at cash desk many discounts are lost. The incentive to shop because of discounts turns to frustration because of the problems.,2022-06-01
4,Premale pogodnosti,2022-11-23
5,Excellent,2022-02-25
3,I updated the app and now I have to go to my apps page and open it from there. Not such a quick step on it this time. I had to reset my password as didn't recognise and I have not changed it since last time had to update it. In store staff are friendly and good value for money on the products in store There has been a lot of stock not been delivered as often. Cat litter is hardly in the store and need some more variety of cat food,2022-08-17
2,"Can't open lidl plus on my Samsung says will be installed soon but it never happens Thanks but all done now, I have lidl plus",2022-06-10
5,I think it's great!,2021-12-27
1,"I went to the bakery, bought a chocolate doughnut for my son, he got covid the next day",2023-08-13
5,Lidle is the Best,2021-11-20
5,All good so far! Thanks,2022-07-08
5,I am always very pleased with the quality of products and the excellent prices.,2023-09-07
5,Very happy,2021-12-13
5,Excellent app. Fab shopping experience,2022-11-28
5,Fine,2023-11-06
5,Good app,2021-11-22
5,Excellent value for money staff lovely helpful and polite. Love the claret £5.07,2022-04-08
1,"Tai apgailėtiniausias appsas iš visų prekybcentrių appsų. Gali laimėti nuolaidą spurgai, arba pigiausiam indų plovikliui.",2021-11-28
4,Easy to use,2022-02-25
4,"Sorry don't know how to use it yet,learning slowly",2023-10-11
2,I have shopping loyalty cards and apps with the all the major supermarkets I am a vegan / strict vegetarian and don't drink alcohol Lidl keep send me inappropriate offers which I don't / won't use as I don't eat dead animals and drink alcohol Sainsbury's nector card send me weekly offers / promotions on products I'm going to buy or have already purchased Tesco/Asda and Mark's and Spencer and Waitrose have the same marketing principles As a customer I would rather spend my £ with them!!,2023-11-23
5,"Lovely staff Ben ,Blackpool Devonshire Road x",2022-09-10
5,The best shopping app I've downloaded,2022-02-10
1,"Used to be nice to get the odd freebie in the form of cheap goods, now just give small discounts for those same items. If a service gets worse, especially intentionally, this will always have a negative effect on the end user. A Lidl employee told me that many of their own staff have stopped using this app. I also see that Lidl never responds to any posts mentioning the removal of the freebies. Coincidence? Nope. The app mainly benefits Lidl, giving free analytics and less overheads on receipts.",2023-03-18
5,"Wish people would stop moaning about allergens, being gluten intolerant and dairy free. None of this existed for the past 40 years. Go and pay double in a ""health food"" shop and leave Lidl to the rest of us satisfied customers.",2021-11-02
5,All going well,2022-07-07
5,Good,2022-08-17
5,Good,2021-10-03
3,It would be very nice when the app would have filters for products you don't consume and products you are especially interested in.,2021-12-11
1,"I hate loyalty schemes, I want to go to a shop and get the best price without messing around.",2022-10-19
5,Great staff very clean and tidy shop...,2023-01-12
5,Great,2022-09-20
5,Good app,2021-10-15
5,Great,2022-03-08
5,"Had a problem finding my 'Card' but once found, its all good",2021-11-30
5,Love it. Its great you get a scratch card each time you shop with the app you get a digital receipt no more paper. You get the weekly offers on the app all the news a very compact app. Brilliant,2022-08-05
2,Will let u rate the store in app then freeze when ur about to join the draw for money. Bit of a con app if u ask me. Disappointed,2022-04-01
5,So far seems a worthwhile app.to have.,2022-03-10
1,Every time I get near £200 I get blocked out and loose the £10 bonus,2022-02-28
5,Always fresh item's on shelves,2022-11-24
5,Excellent service and value,2022-03-24
5,Excellent,2022-07-12
4,Mostly good,2022-04-07
3,It works. Rewards are things a pensioner would not want,2022-07-20
2,Very disappointed that I can't find the free items on the lidl plus,2022-01-13
5,Very good girl actually checkout very helpful with my app,2022-10-16
5,Good quality and price!,2022-03-10
5,Easy to use when you remember to have your phone charged!,2022-01-01
4,Good,2022-12-12
4,Found everything I was looking for.,2022-04-26
4,Very good value as usual,2022-04-14
5,Easy to use and always able to see what is on offer or what will be on offer next,2021-12-31
1,Brak czytnika cen???,2024-03-26
1,Gaidys tas jusu apsas.. Pxnx..,2022-06-04
5,Very Good,2022-07-14
5,Great app,2022-04-25
4,"Aplikace funguje bez problémů. Oceňují možnost podívat se na vytíženost prodejny. Vadí mi nutnost zapínat kupóny- nestačí že mám tu kartu, musím lozit do aplikace a klikat na co slevu chci, to je hrozně otravné.",2022-09-28
5,Love Lidl . But I do own to many chainsaws now .,2022-05-21
5,Nice discounts!,2022-11-24
5,Wicked.,2022-02-10
3,"It's ok at times. However, some deals are good, but many times stores don't have the items in stock! I felt cheated when the £10 off at £200 was stopped.",2022-12-24
2,"The sizes of the clothes are so small, because I wear size 46 but whenever I buy size the same sizes in Lidl it doesn't pass.",2022-02-13
4,A bit clunky at first,2021-11-25
5,Super,2022-01-07
1,Simply NOT WORKING. The screen freezes whenever I try to register / enter. Total garbage!,2023-10-03
5,Kiitos paljon,2021-10-27
5,Easy to use and great for saving money,2022-12-02
1,"Forced unnescessary updates, otherwise the app wont start.",2022-08-19
1,Aplikacija je raspad. Puca na samom startu,2022-03-13
4,Very good for shopping and offers,2021-11-06
1,Rubbish. It keeps stopping and you have to keep restarting or even reloading it!,2022-04-11
5,"Много добре, работи",2022-04-20
5,Brilliant staff,2022-04-05
4,Good service,2022-10-30
5,Love it,2022-02-06
5,It's very handy and you get prizes and wen you have a good bit of points you can yous them like a money,2022-01-16
5,Супер,2021-12-19
3,"Technicky funguje aplikace dobře, ale prakticky je k ničemu. Např. Tesco Clubcard nabízí peněžní poukázky plus slevy na pravidelně kupované položky. Tahle appka nabízí slevy na zbytečné věci, které nejspíš nikdo moc nekupuje a v krámě se jich potřebují zbavit.",2022-12-03
1,Useless ... Just wasting people's time,2023-04-24
1,I've not used this app yet. I'll let you know once I have.,2022-01-24
5,Magazinul meu preferat!Angajatii de pe str.Bistritei sunt cei mai draguti!,2024-03-13
4,"How come haven't they added the ""shopping list"" to it? It would have been a great improvement. A check list of what you need to buy next time.",2022-08-12
4,The only thing that lets lidl down there not alot off check outs open,2021-11-22
5,"I am so happy to have. Lidl shop locally. It's only a small one, but it saves me to have to go on the bus, and I can properly make use of Lidl Plus. I only wish that I wouldn't win vouchers for items, that I can't get in my shop. This happens very often.",2023-11-14
1,When in Czech Republic why I cant get English support?! It becomes all in Czech! I cant use the app anymore!,2022-06-21
1,"Die App ist noch nicht ready für Produktion. Ich wähle meine Filiale aus, und dann geht die App in einem Loop. Dann muss ich die Filiale nochmal auswählen. Und so geht es bis zum Eternity...",2022-07-05
5,Great app that can save me a few pennies now and again. Definately worth having if you shop at Lidl quite regular.,2023-01-04
1,"Garbage app. A complete waste of time. Other than give miniscule discounts on a handful of stuff nobody ever buys it does nothing else. I mean at least have a points for discount scheme like Dunnes, €10 off a €50 spend. Nope, definitely not with Lidl.",2021-10-21
5,Great.thanks.,2022-04-04
4,Keep getting instructions to update but MB too great and I don't have enough free space.,2022-03-02
5,Easy to use.,2022-08-11
5,Very good,2022-03-06
5,Excellent selection.,2021-10-30
3,Very good,2022-08-29
3,"First time using the app, so it was ok!",2022-11-14
1,"Did not get a receipt when I did my shopping today ,and was told I had to wait for 10 minutes to get a receipt. I think that is unfair.",2023-12-14
5,Nice perks,2022-07-10
5,excellent,2023-12-01
5,"Just started using app, so far so good",2021-12-04
5,Easy in most stores.,2021-12-16
5,Wonderful,2023-09-07
