rating,review,date
1,Doesn't let me log into my account.,2020-09-10
2,Runs slow and takes a long while to load an item's page. Didn't update. Unsure of what went wrong.,2022-08-11
1,Old app was much easier to navigate and too found products. Don't like it at all. Also new app didn't import my shopping list.,2020-01-03
5,Good,2022-07-20
1,"App seems pretty unstable lately. Poor optimization, inability to change language in region, removal of search category ""solid wood"" for a replacement of ""wood + particle board + veneer"" search categories so you have to judge a product only by look, or by going to the store to personally feel it yourself. On top of that, a 250% product price increase over 2 years gotta be a bug... $699 -> $1599 for a decline in quality from solid wood to particle board and a veneer?? Nahhhhh.",2023-08-16
5,Love Ikea!,2021-09-04
4,Easy to use and find what you need.,2021-02-25
1,"Since you can only log in to app with Chrome, app is useless to all of us that use other browsers and are not willing to install Chrome just to use one app. Please fix this silly issue.",2023-02-26
5,Amazingn already,2021-06-06
1,Doesn't even provide the basic browse function. Removed.,2020-06-03
5,Great app from IKEA 👍🏻,2020-07-08
5,Very handy,2023-07-30
5,Smooth and clean,2020-01-07
4,Easy to use,2020-08-19
5,Very clean and user friendly,2021-04-18
5,Nice,2022-05-07
5,Easy to find everything! The site is well-organized and the descriptions are clear.,2021-08-14
5,Love it! Easy to use!,2020-04-10
5,"Like this app, minimum of dross and quick.",2020-02-01
5,Its amazing x,2020-02-27
5,"Pretty well done app. Search function could be a little better, but needs more extensive classification tags for products. Unfortunately it's not a full replacement for a walk through the store.",2022-06-27
4,"The app is extremely slow. Update: the app works again, after I reinstalled it and restarted my phone.",2022-10-22
2,The sorting options are limited and the search area could use some thumbnail images to help you figure out what you are clicking on.,2020-09-14
5,Easy to order,2020-07-17
5,So easy to use :),2021-12-01
1,"All items r too expensive, we can get products at far lower prices on amazon, flipkart or on any other online apps in india. Had heard that IKEA is a products brand in Europe, USA etc where the products r priced far cheaper and r innovative compared to other sellers or stores. Hope IKEA understands this n change their strategy n pricing",2023-08-13
5,Great app for my phone,2022-05-21
4,"Love IKEA, but... Where is IKEA Place for Android???",2022-03-19
5,Best smart home to visit our Bangalore.😍😍🤞🤞🤞👌🎊🎉🎉👏,2022-06-27
5,So far it's been great.,2020-02-28
5,Branch was not.in chennai other wise it's good,2023-09-04
2,Not a great search engine in this app. The app is generally not intuitive for me...,2020-06-11
5,"Very easy to use , brilliant .",2021-02-18
5,Absolutely love this app and this brand. The home delivery service can be better to be honest. It took me months to replace one glass product that arrived broken.,2021-05-01
5,Easy to use with clear information,2021-11-29
3,"It's not bad but they took away the feature where the items are located in the store, such a step backwards.",2021-04-13
4,"Overall very good, sometimes says basket is empty bit if I exit and reopen it refreshes and basket items return.",2020-05-01
1,Compte inaccessible et appli par très intuitif,2022-11-23
5,"Easy to add to wishlist, move in and out of basket while you deliberate! And remembers me so no need for repeated logins",2022-05-10
5,"I love planning Ikea trips with this app, so convenient.",2021-07-16
5,Very easy use and navigate,2019-12-08
3,Nul y a rien qui marche aujourd'hui... le pannier ne veut pas se remplir et pourtant j'ai rallumé l'appli ... Jeff tu es vraiment le meilleur 🙏😍❤️,2021-03-08
5,"More user friendly, than the website, for when using a phone. Good app for facilitating an IKEA spending spree!",2022-01-10
5,Excellent,2021-10-07
5,Brilliant way to shop. Still get my IKEA fix even in the lockdown,2021-01-28
1,more than two hours... the I could finally get in but had to do something about a password and each time I got out I had to reset my password,2021-05-28
5,Great service,2020-02-24
5,My happy place🥰😍,2021-04-07
1,"Forsøkte å bruke den, men når automatene i butikken bare gir deg en QR-kode, som igjen åpner en strekkode på mobilen, som du så må skanne med appen! (Som selvfølgelig ikke går) 🤦‍♂️ Utrolig teit.",2022-04-11
4,Wonderful app but it will be extremely helpful if it offers UI in English. 1 star less for only German.,2020-09-14
1,"Immediate failure. When I tried to use it, it told me it couldn't log me in unless I reinstalled Chrome on my phone. Why? IKEA is one of the largest companies in the world. Why can't they log me into their own app?",2023-01-30
2,"I'm looking for ideas to help me find what I need. Typically when in a store I get the idea from the displays. The individual units is not what I want from this app. To help you understand, I downloaded this app to find ideas for space saving office ideas. And for packaged kitchens. I am developing a house and needed something to show me what I need. Your ""be inspired"" is great but I only found some sort of breakfast in bed scenario set up. Hope this feedback helps",2020-08-13
5,I love it,2022-04-12
5,I love Ikea and the app just makes it quicker and easier. Luv it,2023-04-14
3,"Good but a couple of issues, first is the scrolling issue that others have mentioned, it just zooms to the top whilst scrolling or pausing half way down the list, the other is the lack of selection on the filters, ilter could include an option to select delivery option, as I'm about 150 miles from the nearest IKEA having to pick up from store isn't an option for me",2022-01-22
5,"Clear product pis. Quick, great options for saving items for planning purchases per room.",2024-01-16
2,Login features do not work,2023-07-07
5,Nice filters to narrow down the item you want.,2023-12-30
4,The ability to build a shopping list and plan your trip around the physical store is a work of genius. Well done.,2020-11-27
5,Been shopping down IKEA over 10 years and never been disappointed 😁😁,2021-10-28
2,Put the app back the way it was. Not enough details.,2020-05-12
5,Easy to use,2022-04-03
5,"Easy to use, pleasant visuals",2021-02-03
4,Good to use,2020-01-25
1,"Tired of seeing an item show as ""In Stock"" on the app, only for me to make the drive to the store and find out that it is in fact out of stock. Also need more details on locating items in store. Spent 30 mins walking around the textiles department, no employee in sight, looking for a small item. It's like searching for a needle in a haystack.",2023-08-14
5,Love shopping here,2021-03-29
1,"Pathetic customer care services foronline shopping @ikea Hyderabad. Online booking is such a pain. They don't deliver for months , nor they refund the cancel order amount till months. When Amazon, flipkart, Big basket and other brand is on par with online Shopping n delivery services ,what's up with them to be so ancient. It's pain on daily basis to keep calling the customer care ,and they are just useless.",2021-07-08
4,Makes Ikea accessable to me - don't drive and live in rural area,2021-09-02
1,They removed a very useful past purchase/order history capability.,2021-05-25
1,where the heck is the living room category for sofas and dining sets? where are all of the subcategories like that found on the wensite. please let me know,2020-06-09
1,The option to change the language is not available. Even thing as basic as this is not available.,2023-10-07
5,Easy to use,2021-01-16
1,Cannot login to my account.,2020-11-14
5,Very quick easy and simple to use,2020-05-23
1,Just banned it it's a cheep app,2023-07-10
5,"What a lovely, smooth and pleasant app! Great job folks, well done",2021-07-31
1,"""Use chrome/edge to log in"" – are you kidding me? I don't have any these and no other app have ever required me to. How am I supposed to log in now?! In a world where there are so many portable solutions someone chose some crazy browser specific feature to rely on. What's wrong with your dev/product team ikea?",2022-12-13
5,"Ikea, would you marry me!!! Pretty pleeeease!!",2022-10-02
5,FABULOUS! other negative reviews are nonsense!. For me selecting anything I want I can get without any problem whatsoever. Because of these reasons and the fact that this company is well known for excenplitory service and are concerned about the environment they get the majority of my business!,2021-10-09
5,Easy to use. I like it,2021-01-22
5,Now I have somewhere to make an IKEA wish list...great 🤭,2022-07-22
2,Doesn't use my default browser.,2023-04-10
5,"Love it... I can shop at home and choose exactly what I want, put it in my wish list ready for a wander round the store with less stress. Or get delivery for large items",2023-12-07
4,"The app just works, and that's perfect.",2020-10-31
1,"App no longer allows me to log in to my account. Just gives message that my browser isn't supported and to download Chrome. Why is Edge all of the sudden not supported especially since it's basically built on Chrome? Also, when I install Chrome and set to default browser, I still get the error. Go home Ikea app, you're drunk. 🙄",2022-05-17
1,W1wq{sis skk#=K,2022-11-20
4,"Cant find order tracking, otherwise great app",2020-06-06
5,Great,2022-02-11
5,Never had a prob brilliant app,2020-01-25
1,Boycotting sweden and its products. Have been a regular shopper at Ikea but not from now on,2023-07-03
2,"After the last update, the location in the market of the items in the favourites' list are not displayed anymore, it says they are all in ""Self-Service"".",2021-11-01
4,Very good!,2022-08-20
1,Awful. Tried to look for tv benches and there were over a thousand options because they've got every possible combination of the Besta range on there. Gave me a headache trying to scroll through it all absolute rubbish I'm going to uninstall.,2020-01-27
1,"Not working since latest update. Stuck at screen ""not recommended on a rooted device"". My device is not even rooted. Imagine a world, where a shop selling furniture checks your boot security.",2023-10-19
1,Old app was way better!!,2021-01-16
2,"The shopping experience is better online, but after the website lost a cart I had spent hours creating after I logged into my account and wouldn't allow me to put anything in my cart afterwards, I resigned and downloaded the app, even though it is way faster and easier to shop on the website.",2020-04-15
5,"Intuitive app, easy to navigate.",2022-02-16
4,"Love the app, but a lot of the products I'm after either don't have ability to ship to me or have any available at click and collect points :( I love Ikea products but would also like to be able to actually purchase them as well without a full day investment especially if I'm purchasing often",2022-10-08
4,"Easy to use,details on products are good.",2020-01-06
1,Can never log into this app. Hate it.,2023-06-07
1,One of the worst service provider. Brought curtain rods and have problem and uploaded 5 times videos about malfunction. Every time new problem and suggest not to buy online in IKEA.,2023-10-19
1,"Mangles shipping addresses by using the postal database. Why cant you just use the ever-loving address I entered *as I entered it, without modification*? The support chat is kinda garbage, too.",2022-09-05
1,"Poor app, I only have the option to register for Family card although I already have one and just need to add it. Why forcing people not to use the old app and download your new unfinished one?",2020-07-04
4,Unique and novel app. Liking the overall experience,2022-03-26
2,Not easy to navigate and find products compared to using the website.,2021-01-27
5,Excellent value for money and quality products,2020-02-05
5,Nice,2023-05-06
1,It's just a catalog. They have turned off online ordering and making it seem like a server issue.,2021-07-05
3,I wish the app could provide info on when an item is back in stock.,2021-02-10
5,Good UI. Easy to use,2021-08-20
5,Awesome,2023-02-19
1,Built-in barcode scanner/ item number /QR code reader is useless . Mind you IKEA Edinburgh store doesn't seem to have codes the app recognises. ☹️🤔. A waste of time for in-store shopping.,2022-02-05
5,Easy to use. The wish list allows you to see what you like organise each item into rooms then purchase what you need. I love this feature,2023-02-14
3,"It's great when it works. Sometimes checkout fails. One annoyance, you can't sign up for SMS notifications for instock via the app. You have to use the website. It's very inconsistent about holding at a store instead of delivery. It's not clear when you can do one or the other and why not.",2021-04-08
5,Love IKEA,2021-05-07
3,Ikea India app...Needs improvement...lags in speed...data loss happens in time....don't remember the previous shortlisted wishlist.. etc,2021-06-20
5,Convenient and functional!,2022-06-29
5,Great website. Easy to use. Ikea is great.,2023-03-03
5,"The app was so helpful during the pandemic when we had things delivered, and now it helps to make a list before I go . Love Ikea reminds me of living overseas. Unique things you can't find other places. Great things for the boys' rooms and the house.",2023-03-21
5,"Great place for shopping household items, a huge place where you can spend a whole day looking and having beautiful ideas. Great value and affordable for all budgets with a nice and helpful team. Products are good quality and last a for a long time. A nice food court area, must try, the food is amazing. You should try some meatballs and hotdogs on the way out.",2024-02-14
1,Most disappointing experience. Defective furniture and poor service.,2022-02-22
4,Great,2021-04-10
5,"Love it, allows easy browsing, you know which items are available. New English lang update makes life much easier.",2024-01-20
5,Great,2020-02-26
1,Just couldn't find what I wanted very bad like I didn't have any choices to choose,2023-07-31
1,Horrible! The old app actually worked this one doesn't show most catagories of products. IKEA please fix this.,2020-05-26
5,Superb,2023-06-11
5,Caterinca rau,2024-01-18
5,Excelente,2020-04-21
5,"Easy to search, easy to star favorites, but my most loved feature is the ability to see past purchases and where I can pick up an item in terms of store and where in store the item is located.",2023-04-01
5,Nothing like easy shopping from the comfort and safety of your home... bed.,2020-11-02
5,Bueno,2023-09-29
1,"Can a Ghaziabad person shop from this app? Because when I'm signing up for this app it is asking for Post Code and Preffered Store and the option are only for Hyderabad, Mumbai and Bengaluru",2024-02-08
5,I am looking for my new makeup vanity desk and computer desk,2021-01-24
5,Good app,2020-08-02
1,"The old app was much easier to use and more logical. This new app makes searching and browsing extremely difficult. It is less functional as a shopping tool, and functions more as a look book. The website offers a better shopping experience which makes the app pretty pointless.",2021-02-14
5,Easy to use with a wish list to organize wat I want to get.,2022-06-25
2,"Nice app but lacks language options. Even though there is the possibility to change the region, the language cannot be customised and it is bound to the region you have selected. E.g. i am in poland, but I want english as language.",2020-11-15
5,"We physically went to the Ikea store on 2 seperate occasions only to find out they didn't have the item we wanted in stock. Fool me once shame in you, fool me twice shame on me. So finally decided to give this a try and order online. I didn't like the $5 charge to do click and collect at the store but considering the time I wasted previously it's money well spent if I don't have to waste my time. I'll be picking up my product later today so I'll be updating this post after I see how that goes",2021-05-04
5,"Apps need improvement it has some bugs. Adding to list and removing from list from is not working properly. App is crashing sometimes, I mean it stop working for few seconds, then it need to be restarted. I expect that the app will improve in coming days. I'm giving it 5 stars because it is from IKEA.",2021-11-07
1,"will it deliver in Vishakapatnam? As i live there, and i am really in need of a loft bed",2021-08-25
4,"Great easy to navigate. It's a shame you can't add IKEA image inspo to Pinterest though. It won't let you for some reason so you have to screenshot it, if you want to make a mood board. It's a shame because then copying the link across to access the picture is a hassle.",2022-10-03
4,"Great priced furniture for beautiful swag homes, all tastes catered for people. 👍",2020-06-06
1,Most items out of stock and no way to filter items from view. There is no easy way to switch between nearby stores to easily see what's available. No guarantee or way to hold items if I drive 3 hours to get a scan and pick item will be available.,2022-11-04
5,Easy to use. Good app.,2022-06-28
1,Got only to the point of selecting a furniture category and then the app force closed. Won't re-open. (Android 11 on an Asus Zenfone),2022-04-04
5,"Easy to use, very helpful",2022-10-23
5,Works great 👍,2023-09-12
5,Good,2020-05-31
5,Perfect,2023-07-02
5,I love The app,2023-03-30
1,"The phone number is saved on a bad format when creating a account from the app. Terrible customer service, the delivery is not arrived one month after the expected date, and no warning to say that it will not arrive at the expected date.",2021-09-20
5,Good 👍,2021-07-03
1,"Terrible. Every once in a while it automatically takes you back to the top of the page. Imagine scrolling down 30 pages and at random intervals having to start over. After about 10 minutes, I've had enough. I'll try the regular website.",2022-01-14
5,"Great website, easy to search with good product descriptions",2020-01-04
2,"Cannot bind old plastic card to application, so I lost all my previous purchases. It works on the old app.",2021-09-25
1,"I can't even login, because I don't have Chrome. My browser apparently isn't compatible for a simple login task.",2021-09-30
5,Easy to use.,2023-07-10
5,Nice app,2021-10-16
1,Register kar very problem mobile se bhi aap register honi chahie,2023-02-25
5,Great app no problems with it,2020-01-23
4,Simple and good,2022-05-17
1,Canada isn't available in the settings?? Can't use the app for this matter.,2021-03-03
5,Perfect👌,2021-03-01
5,Always quick shopping.. love seeing everything,2023-04-27
5,Really easy and simple to use app.,2020-12-06
5,"Intuitive, with a lot of options included (e.g. choosing your preferred delivery date)",2022-10-03
5,Loistavaa! Toimii niin hyvin!,2020-11-22
5,"Smooth, Minimalistic UI, Easy to Navigate, Masterpiece.",2022-08-14
4,A little difficult to navigate but great way to keep an eye on stock you're waiting for to arrive in.,2020-11-14
5,Super like always,2022-03-17
5,Easy to use. Found everything I was looking for😃,2022-08-01
1,"Login not possible, password reset mail never arrives, And when creating a new account the verification code is not recognised by Ikeas system. 🤦",2022-08-19
5,Great app,2020-06-22
5,"Easy to use, well designed app",2022-12-18
5,Love the store and the app is so user friendly. All the options make creating my space fun and easy. The room simulator function is fun because you can design any room how you want and pick the items that fit in the space before purchasing.,2022-11-09
5,Very easy to use and had no problem placing my order.,2020-11-19
4,Amazing app,2022-08-14
4,Update: I can see the orders in app now. Might be some data migration delay. Now I am happy with the app. ---------- The app can't even display the order I placed on the website. Each time I have to enter the order number by myself. It needs some improvement.,2021-04-15
1,Just use the website instead... Information in app resets constantly resulting in having to log in everytime...,2021-02-06
5,Easy to navigate love the app ❤️,2020-02-02
4,Nice,2022-08-10
1,can't log in,2020-07-11
1,Doesn't let you proceed past post code say post code error I know where I live,2020-02-08
5,"IKEA Ja det siger jo alt om bolig indretning, og så er det jo nemt og hurtig.",2023-11-09
1,Your new app sucks! The older one shows all categories while this one can't even show good search results,2020-05-12
1,"Yes you can now order through the app, but the main reason for using the old app was to create a handy list with location codes before a trip. This seems to have gone. If I wanted to order something I'd go on the website which is accessible on my phone anyway, so no real benefit of having the app! It's just junk, do not download.",2019-12-18
5,Excellent app with lot of options and I like it,2022-03-27
5,Easy to find what I wanted and ordered .,2022-01-31
1,"I'm tired of endlessly searching for a product only to find out AFTER I select it that it's NOT available for home delivery!! I'm tired of finding a product that requires compatible accessories, and they are NOT listed at bottom of page as one would expect!! That's a standard feature that would be helpful, you know!",2021-11-21
5,Far better than the website,2020-08-15
2,Navigating from different products is slow. Takes a few seconds to open.,2023-10-12
4,It's easy to understand,2020-04-28
5,Excellent,2020-09-07
4,Good app. Slightly annoying that so much isn't available for home delivery.,2021-07-16
5,Amazing ✨,2022-05-22
1,When I log in it says account not found.,2021-01-24
4,Good app,2020-05-21
1,I gave 1 star because I can't use this app. I live in Deutschland but I don't speak Deutsch. It's impossible to change the language separately from the land.,2023-06-17
5,"Brzo, pregledno, funkcionalno",2020-11-11
1,"One of the worst services I have experienced. I ordered a many things, even the payment was done , the order isn't delivered yet, its long past the delivery date now. The customer service calls don't get connected , the messages don't get connected, no response. Is there any way that I can get refund or at least get the order delivered??",2021-07-09
1,Makes Fool...,2021-07-24
5,"Super easy to use. Runs reliable without hiccups. Easy to navigate and understand. Use it frequently to order stuff for pickup, before it's sold out again.",2021-10-20
1,lixo de empresa,2020-12-14
3,👍🏽,2022-02-26
5,Good app,2021-09-02
4,Very intuitive app,2020-02-09
4,Woking fine 🙂,2023-06-22
5,"So far, the new app looks great and feels very user friendly!",2020-11-26
5,Love your app. Helpful for me as I can look through this and decide what I need before coming up to my nearest IKEA..,2020-01-08
1,"Very pathatic and hopeless customer care service. Never buy anything from Ikea. Its been more than 21 days after returning the product, still I have not got refund . customer care informed me that the refund is pending with accounts department and it will take another 14 to 21 days for refund the money",2022-08-18
